profileID,respID,qID,altID,obsID,price,dist_green,dist_shops,dist_trans,parking
95,19,9,1,189,20,5km,5km,800m,Garage
267,19,9,2,189,-10,15km,15km,800m,On street free
232,19,10,1,190,-10,10km,5km,800m,On street free
148,19,10,2,190,0,15km,5km,200m,On street free
267,20,1,1,191,-10,15km,15km,800m,On street free
213,20,1,2,191,0,5km,15km,400m,On street free
28,20,2,1,192,0,15km,10km,200m,Garage
360,20,2,2,192,20,15km,15km,400m,On street paid
179,20,3,1,193,10,15km,15km,200m,On street free
114,20,3,2,193,10,10km,10km,800m,Garage
77,20,4,1,194,-10,5km,15km,400m,Garage
244,20,4,2,194,10,5km,10km,800m,On street free
1,20,5,1,195,-20,5km,5km,200m,Garage
152,20,5,2,195,-10,5km,10km,200m,On street free
43,20,6,1,196,0,15km,15km,200m,Garage
260,20,6,2,196,20,5km,15km,800m,On street free
160,20,7,1,197,20,10km,10km,200m,On street free
16,20,7,2,197,-20,5km,10km,200m,Garage
51,20,8,1,198,-20,10km,5km,400m,Garage
95,20,8,2,198,20,5km,5km,800m,Garage
102,20,9,1,199,-10,15km,5km,800m,Garage
51,20,9,2,199,-20,10km,5km,400m,Garage
244,20,10,1,200,10,5km,10km,800m,On street free
301,20,10,2,200,-20,5km,15km,200m,On street paid
144,21,1,1,201,10,10km,5km,200m,On street free
124,21,1,2,201,10,5km,15km,800m,Garage
213,21,2,1,202,0,5km,15km,400m,On street free
201,21,2,2,202,-20,10km,10km,400m,On street free
251,21,3,1,203,-20,15km,10km,800m,On street free
77,21,3,2,203,-10,5km,15km,400m,Garage
148,21,4,1,204,0,15km,5km,200m,On street free
319,21,4,2,204,10,5km,5km,400m,On street paid
75,21,5,1,205,20,15km,10km,400m,Garage
251,21,5,2,205,-20,15km,10km,800m,On street free
260,21,6,1,206,20,5km,15km,800m,On street free
28,21,6,2,206,0,15km,10km,200m,Garage
124,21,7,1,207,10,5km,15km,800m,Garage
297,21,7,2,207,-10,15km,10km,200m,On street paid
383,21,8,1,208,0,10km,10km,800m,On street paid
280,21,8,2,208,20,10km,5km,200m,On street paid
40,21,9,1,209,20,10km,15km,200m,Garage
160,21,9,2,209,20,10km,10km,200m,On street free
401,21,10,1,210,-20,15km,15km,800m,On street paid
59,21,10,2,210,10,15km,5km,400m,Garage
368,22,1,1,211,0,10km,5km,800m,On street paid
344,22,1,2,211,10,15km,10km,400m,On street paid
297,22,2,1,212,-10,15km,10km,200m,On street paid
40,22,2,2,212,20,10km,15km,200m,Garage
309,22,3,1,213,10,10km,15km,200m,On street paid
144,22,3,2,213,10,10km,5km,200m,On street free
195,22,4,1,214,20,15km,5km,400m,On street free
380,22,4,2,214,20,5km,10km,800m,On street paid
371,22,5,1,215,-20,15km,5km,800m,On street paid
333,22,5,2,215,0,5km,10km,400m,On street paid
319,22,6,1,216,10,5km,5km,400m,On street paid
75,22,6,2,216,20,15km,10km,400m,Garage
344,22,7,1,217,10,15km,10km,400m,On street paid
102,22,7,2,217,-10,15km,5km,800m,Garage
183,22,8,1,218,0,5km,5km,400m,On street free
309,22,8,2,218,10,10km,15km,200m,On street paid
152,22,9,1,219,-10,5km,10km,200m,On street free
232,22,9,2,219,-10,10km,5km,800m,On street free
114,22,10,1,220,10,10km,10km,800m,Garage
67,22,10,2,220,-10,10km,10km,400m,Garage
333,23,1,1,221,0,5km,10km,400m,On street paid
216,23,1,2,221,-20,10km,15km,400m,On street free
216,23,2,1,222,-20,10km,15km,400m,On street free
401,23,2,2,222,-20,15km,15km,800m,On street paid
352,23,3,1,223,-10,10km,15km,400m,On street paid
183,23,3,2,223,0,5km,5km,400m,On street free
