profileID,respID,qID,altID,obsID,price,dist_green,dist_shops,dist_trans,parking
195,22,8,1,197,20,15km,500 meter,400, reserverad P-plats
1,22,8,2,197,0,500 meter,500 meter,200,reserverad garageplats
380,22,9,1,198,20,500 meter,5km,800,ingen P-plats
244,22,9,2,198,10,500 meter,5km,800, reserverad P-plats
114,23,1,1,199,10,5km,5km,800,reserverad garageplats
77,23,1,2,199,-20,500 meter,15km,400,reserverad garageplats
128,23,2,1,200,-10,5km,15km,800,reserverad garageplats
95,23,2,2,200,20,500 meter,500 meter,800,reserverad garageplats
260,23,3,1,201,20,500 meter,15km,800, reserverad P-plats
40,23,3,2,201,20,5km,15km,200,reserverad garageplats
309,23,4,1,202,10,5km,15km,200,ingen P-plats
51,23,4,2,202,0,5km,500 meter,400,reserverad garageplats
272,23,5,1,203,-20,500 meter,500 meter,200,ingen P-plats
344,23,5,2,203,10,15km,5km,400,ingen P-plats
216,23,6,1,204,0,5km,15km,400, reserverad P-plats
383,23,6,2,204,-10,5km,5km,800,ingen P-plats
368,23,7,1,205,-10,5km,500 meter,800,ingen P-plats
16,23,7,2,205,0,500 meter,5km,200,reserverad garageplats
40,23,8,1,206,20,5km,15km,200,reserverad garageplats
43,23,8,2,206,-10,15km,15km,200,reserverad garageplats
77,23,9,1,207,-20,500 meter,15km,400,reserverad garageplats
59,23,9,2,207,10,15km,500 meter,400,reserverad garageplats
360,24,1,1,208,20,15km,15km,400,ingen P-plats
297,24,1,2,208,-20,15km,5km,200,ingen P-plats
319,24,2,1,209,10,500 meter,500 meter,400,ingen P-plats
360,24,2,2,209,20,15km,15km,400,ingen P-plats
297,24,3,1,210,-20,15km,5km,200,ingen P-plats
75,24,3,2,210,20,15km,5km,400,reserverad garageplats
383,24,4,1,211,-10,5km,5km,800,ingen P-plats
260,24,4,2,211,20,500 meter,15km,800, reserverad P-plats
75,24,5,1,212,20,15km,5km,400,reserverad garageplats
319,24,5,2,212,10,500 meter,500 meter,400,ingen P-plats
201,24,6,1,213,0,5km,5km,400, reserverad P-plats
352,24,6,2,213,-20,5km,15km,400,ingen P-plats
102,24,7,1,214,-20,15km,500 meter,800,reserverad garageplats
380,24,7,2,214,20,500 meter,5km,800,ingen P-plats
51,24,8,1,215,0,5km,500 meter,400,reserverad garageplats
213,24,8,2,215,-10,500 meter,15km,400, reserverad P-plats
232,24,9,1,216,-20,5km,500 meter,800, reserverad P-plats
124,24,9,2,216,10,500 meter,15km,800,reserverad garageplats
95,25,1,1,217,20,500 meter,500 meter,800,reserverad garageplats
201,25,1,2,217,0,5km,5km,400, reserverad P-plats
144,25,2,1,218,10,5km,500 meter,200, reserverad P-plats
148,25,2,2,218,-10,15km,500 meter,200, reserverad P-plats
333,25,3,1,219,-10,500 meter,5km,400,ingen P-plats
401,25,3,2,219,0,15km,15km,800,ingen P-plats
344,25,4,1,220,10,15km,5km,400,ingen P-plats
301,25,4,2,220,0,500 meter,15km,200,ingen P-plats
179,25,5,1,221,10,15km,15km,200, reserverad P-plats
272,25,5,2,221,-20,500 meter,500 meter,200,ingen P-plats
